cytoband	13q14.3	14q21.2	22q13.32	10q21.2	8p23.2	16q23.3	8q24.22	10q23.31	22q13.1	8p12	4q34.3	10p12.31	8p22	7q34	21q21.1	18q21.33	2q22.1	15q25.3	13q12.3	5p15.2	20p12.1	19p13.12	1q42.13	2q37.3	19p13.2	2p23.1	7q22.3	5p13.1	9p21.3	17p13.1	Xq28	7p22.1	9q22.33	
																												AP3B1	RRAGA	MYH3	KDM5C	SFRP4	RRAGA	
																												PDLIM4	ZBTB6	MYH4	SMC1A	SLC4A2	ZBTB6	
																												PPAP2A	NEK6	MYH8	F8A1	SLC13A1	NEK6	
																												STC2	SDCCAG3	MYH10	UBL4A	SMARCD3	SDCCAG3	
																												PDE8B	NOXA1	MYL4	TMEM187	SMO	NOXA1	
																												EIF4EBP3	CCL27	MYO1C	SLC10A3	FSCN1	CCL27	
																												PCDHGB4	USP20	MYO1D	TKTL1	SP4	USP20	
																												CDC23	ACTL7A	NAGLU	SRPX	SPAM1	ACTL7A	
																												ADAM19	GADD45G	NF1	UXT	SRI	GADD45G	
																												FGF18	SPIN1	NFE2L1	CUL4B	AKR1D1	SPIN1	
																												HDAC3	SEC61B	NGFR	IRS4	SRPK2	SEC61B	
																												SQSTM1	SLC27A4	NME1	OGT	SSBP1	SLC27A4	
																												P4HA2	SLC35D2	NMT1	OFD1	STX1A	SLC35D2	
																												HSPB3	CNTRL	NOS2	IKBKG	SYPL1	CNTRL	
																												SEMA5A	WDR5	NPTX1	PIR	TAC1	WDR5	
																												ATG12	C9orf9	NSF	CASK	TAF6	C9orf9	
																												OSMR	ADAMTS13	NUP88	ASMTL|ENSG00000169093.10	TBXAS1	ADAMTS13	
																												PTTG1	CACFD1	OMG	PAGE1	TFR2	CACFD1	
																												PDLIM7	PSIP1	OR1D2	MTMR1	TRIP6	PSIP1	
																												NREP	INSL6	OR3A1	AKAP4	TWIST1	INSL6	
																												TRIP13	SLC2A6	OR3A2	APLN	UBE2H	SLC2A6	
																												CNOT8	AKAP2	P2RX1	AP1S2	UPP1	AKAP2	
																												HAND1	RPL35	P2RX5	GYG2	VGF	RPL35	
																												MED7	MAN1B1	P4HB	FAM127A	VIPR2	MAN1B1	
																												MYOT	DCTN3	PAFAH1B1	SLC25A14	ZAN	DCTN3	
																												ADAMTS2	FRMPD1	PDE6G	CLDN2	EIF4H	FRMPD1	
																												SCAMP1	DOLK	PDK2	RGN	CLIP2	DOLK	
																												NRG2	ZNF510	SERPINF1	FAM50A	LAT2	ZNF510	
																												CXCL14	HABP4	PER1	AIFM1	WNT2	HABP4	
																												H2AFY	PTGR1	PEX12	TMEM257	XRCC2	PTGR1	
																												RNF14	TRIM32	PFAS	REPS2	YWHAG	TRIM32	
																												CARTPT	FNBP1	PFN1	ZBED1|ENSG00000214717.4	ZNF3	FNBP1	
																												SNCAIP	SETX	PHB	ZMYM3	ZNF12	SETX	
																												NUP155	ERP44	PITPNA	BMP15	ZKSCAN1	ERP44	
																												TTC37	KDM4C	PLD2	GPR50	ZSCAN21	KDM4C	
																												CLINT1	ZBTB43	SERPINF2	MED14	ZNF138	ZBTB43	
																												PCDHGA8	SMC5	PMP22	TCEAL1	ZP3	SMC5	
																												PCDHA9	KANK1	SEPT4	RAB33A	ZYX	KANK1	
																												ZFYVE16	FAM120A	POLR2A	ITM2A	AIMP2	FAM120A	
																												MATR3	PMPCA	MED1	ARHGEF6	MAFK	PMPCA	
																												MAML1	VPS13A	PPY	PCYT1B	MTERF	VPS13A	
																												KIAA0141	ASTN2	PRKAR1A	MAGED1	TFPI2	ASTN2	
																												JAKMIP2	AGTPBP1	PRKCA	XAGE2B	ST7	AGTPBP1	
																												PJA2	BICD2	MAPK7	XAGE1D	ARHGEF5	BICD2	
																												DDX46	KIAA1045	MAP2K3	PAGE4	ZNF212	KIAA1045	
																												GFPT2	KIAA0368	PRPSAP1	MORF4L2	TRRAP	KIAA0368	
																												SLC23A1	EXOSC2	PRPSAP2	GPRASP1	FZD1	EXOSC2	
																												GNPDA1	NCS1	PSMB3	STARD8	FZD9	NCS1	
																												SRA1	TDRD7	PSMB6	FRMPD4	MAD1L1	TDRD7	
																												PDCD6	SLC44A1	PYY	PHF16	ZNF282	SLC44A1	
																												EDIL3	ANGPTL2	PSMC5	ARMCX2	CUL1	ANGPTL2	
																												COL4A3BP	NUP188	PSMD3	HEPH	TPST1	NUP188	
																												RAD50	CDK20	PSMD11	MAGEC1	FKBP6	CDK20	
																												KIF20A	DDX58	PYCR1	AMMECR1	CDK13	DDX58	
																												G3BP1	RABGAP1	RAB5C	MED12	EIF3B	RABGAP1	
																												LHFPL2	TMEM2	RAC3	ZBTB33	DNAH11	TMEM2	
																												CWC27	TMEM245	RAD51C	HDAC6	TRIM24	TMEM245	
																												MARCH6	SLC24A2	RAD51D	MAMLD1	TAX1BP1	SLC24A2	
																												APBB3	CIZ1	RFNG	HUWE1	BUD31	CIZ1	
																												CCNO	DNAJB5	RPA1	PQBP1	SGCE	DNAJB5	
																												TNIP1	DCAF12	RPL19	BCAP31	SKAP2	DCAF12	
																												GNB2L1	DFNB31	RPL26	GPR64	MGAM	DFNB31	
																												BASP1	NELFB	RPL27	ATP6AP2	WASL	NELFB	
																												NSA2	NIPSNAP3A	RPL38	TENM1	PLOD3	NIPSNAP3A	
																												FST	NSMF	MRPL12	SSX3	BAZ1B	NSMF	
																												SLU7	GPSM1	RPS6KB1	TIMM17B	CLDN12	GPSM1	
																												PAIP1	GAPVD1	SCN4A	SPRY3|ENSG00000168939.6	DGKI	GAPVD1	
																												POLR3G	PHF19	SCO1	RRAGB	AP4M1	PHF19	
																												RGS14	ZNF658	CCL1	SCML2	TBRG4	ZNF658	
																												SLC12A7	SPATA31A7	CCL2	SLC9A6	STK17A	SPATA31A7	
																												PLK2	FBXW2	CCL3	ENOX2	CYTH3	FBXW2	
																												IQGAP2	SPAG8	CCL3L1	PRDX4	BCL7B	SPAG8	
																												SEC24A	OR1J4	CCL5	EBP	ATP6V1F	OR1J4	
																												CPLX2	OR2K2	CCL7	STAG2	ASIC3	OR2K2	
																												FAXDC2	FBXO10	CCL8	RAI2	PMPCB	FBXO10	
																												FAM114A2	GBGT1	CCL11	PLAC1	ATP5J2	GBGT1	
																												MRPS30	LHX6	CCL13	UTP14A	GTF2IRD1	LHX6	
																												BRD8	OSTF1	CCL14	ZNF275	CREB5	OSTF1	
																												TCERG1	OR1L3	CCL15	PGRMC1	PDIA4	OR1L3	
																												BTNL3	OR1L1	CCL16	MAGED2	NFE2L3	OR1L1	
																												SUB1	OR1J2	CCL23	MSL3	PHF14	OR1J2	
																												HNRNPA0	RANBP6	SDF2	TMSB15A	UBE3C	RANBP6	
																												LMAN2	TRUB2	SEC14L1	PIM2	FAM131B	TRUB2	
																												SPINK5	DNAI1	SECTM1	WDR45	SEMA3E	DNAI1	
																												PAPD7	ST6GALNAC4	MAP2K4	TREX2	DOCK4	ST6GALNAC4	
																												SOX30	INVS	SRSF2	PRAF2	HDAC9	INVS	
																												TPPP	NDOR1	SGCA	CA5B	FAM115A	NDOR1	
																												ESM1	SIT1	SGSH	SLC6A14	RAPGEF5	SIT1	
																												KIF3A	SPINK4	SHBG	KLF8	SCRN1	SPINK4	
																												ADAMTS6	TOR1B	SHMT1	VSIG4	KIAA0087	TOR1B	
																												MGAT4B	TOR2A	SLC2A4	CNKSR2	ELMO1	TOR2A	
																												B4GALT7	NTMT1	SLC4A1	IQSEC2	MAGI2	NTMT1	
																												EXOC3	PHPT1	SLC6A4	PHF8	POM121	PHPT1	
																												SYNPO	CD274	SMARCD2	SEPT6	DMTF1	CD274	
																												RHOBTB3	ANAPC2	SMARCE1	ARHGEF9	DNAJB6	ANAPC2	
																												RNF44	PKN3	SUMO2	ATP1B4	ABCF2	PKN3	
																												ABLIM3	DPP7	SOX9	ACOT9	MUC12	DPP7	
																												ELL2	PSAT1	SOX15	KCNE1L	ARPC1B	PSAT1	
																												CCT5	UBQLN1	SP2	LDOC1	ARL4A	UBQLN1	
																												SV2C	SLC2A8	SREBF1	SMPX	NAMPT	SLC2A8	
																												HMGXB3	OBP2B	SRP68	GSPT2	AKAP9	OBP2B	
																												PDZD2	OBP2A	STAT3	KIF4A	RASA4	OBP2A	
																												TBC1D9B	ST6GALNAC6	STAT5A	FTSJ1	SLC25A13	ST6GALNAC6	
																												ARHGAP26	STOML2	STAT5B	CXorf27	LRRC17	STOML2	
																												FSTL4	DEC1	SUPT4H1	MXRA5	POP7	DEC1	
																												MRPS27	EXOSC3	SUPT6H	EGFL6	RAMP3	EXOSC3	
																												ATP10B	ABHD17B	VAMP2	FAM127B	BET1	ABHD17B	
																												N4BP3	MRPS2	TADA2A	IL1RAPL2	IKZF1	MRPS2	
																												SEPT8	COQ4	TBCD	ITGB1BP2	CCL26	COQ4	
																												FBXL7	CERCAM	TBX2	SRPK3	NOD1	CERCAM	
																												FAF2	EGFL7	HNF1B	VCX	FAM3C	EGFL7	
																												PPIP5K2	C9orf53	MLX	GAGE12I	GPNMB	C9orf53	
																												WWC1	UBAP1	THRA	GAGE2E	COG5	UBAP1	
																												FBXW11	GOLM1	TIMP2	NGFRAP1	ZNHIT1	GOLM1	
																												ACSL6	PRRX2	TK1	NOX1	SEMA3C	PRRX2	
																												PHF15	C9orf114	TNFAIP1	FAM155B	AGR2	C9orf114	
																												LARP1	CHMP5	TOP2A	GPR82	ARPC1A	CHMP5	
																												KIAA0947	C9orf156	TOP3A	SRPX2	IGF2BP3	C9orf156	
																												PPWD1	RAB14	TP53	RBMX	YKT6	RAB14	
																												HARS2	TMEM8B	DNAJC7	PCDH11X	STAG3	TMEM8B	
																												SKIV2L2	C9orf78	TUBG1	P2RY10	PPP1R17	C9orf78	
																												NNT	POLE3	UBB	HTATSF1	FGL2	POLE3	
																												TTC33	NANS	UBE2G1	PCSK1N	CPSF4	NANS	
																												ZNF346	FBXW5	UBTF	PPP2R3B|ENSG00000167393.12	FASTK	FBXW5	
																												AMACR	MRPL50	TRPV1	CCDC22	DBF4	MRPL50	
																												NIPBL	RC3H2	WNT3	MAGEH1	COPS6	RC3H2	
																												PART1	EPB41L4B	WNT9B	FAM156A	KDELR2	EPB41L4B	
																												GEMIN5	EQTN	YWHAE	C1GALT1C1	ADAP1	EQTN	
																												PCDHGA12	TBC1D13	ZNF18	SNX12	ZPBP	TBC1D13	
																												LRRTM2	NUTM2F	PCGF2	RPA4	DUS4L	NUTM2F	
																												FAM169A	DIRAS2	TRIM25	PNMA3	NUPL2	DIRAS2	
																												RAI14	BNC2	RNF112	UBQLN2	HIBADH	BNC2	
																												CCDC69	HAUS6	ZNF207	SH3KBP1	ZNF277	HAUS6	
																												PCDHB5	ASPN	ZNF232	CTAG2	INMT	ASPN	
																												KLHL3	BSPRY	TAF15	NSDHL	ABCB8	BSPRY	
																												TSPAN17	APTX	RND2	FOXP3	TP53TG1	APTX	
																												FBXO4	TOR4A	COIL	TBX22	POU6F2	TOR4A	
																												OR4F3	CNTLN	AKAP1	ZDHHC9	FKBP9	CNTLN	
																												OR2V1	TEX10	EPX	RLIM	PDAP1	TEX10	
																												HAVCR1	FOCAD	AXIN2	WBP5	CBX3	FOCAD	
																												CYFIP2	UBE2R2	OR1A1	RAB9B	TFEC	UBE2R2	
																												PKD2L2	EXD3	OR1D5	LUZP4	LAMB4	EXD3	
																												AFF4	FAM206A	OR1E2	PDZD11	LMTK2	FAM206A	
																												PRELID1	NMRK1	OR1G1	PBDC1	POMZP3	NMRK1	
																												IL17B	NOL8	OR3A3	TFDP3	PAXIP1	NOL8	
																												DIMT1	SPATA6L	PIP4K2B	TLR7	KLHDC10	SPATA6L	
																												MAT2B	C9orf40	SLC25A11	ARMCX1	AVL9	C9orf40	
																												SLC27A6	TMEM38B	SPOP	TLR8	PEG10	TMEM38B	
																												SNX24	SMU1	FOXN1	MBTPS2	NACAD	SMU1	
																												MRPL22	RFK	CNTNAP1	MAGEC2	SNX13	RFK	
																												DROSHA	NIPSNAP3B	GAS7	VGLL1	NUP205	NIPSNAP3B	
																												PCDHB1	STRBP	DGKE	VCX2	COBL	STRBP	
																												DMGDH	TBC1D2	COPS3	VCX3A	IQCE	TBC1D2	
																												TLX3	HEMGN	CBX4	ARMCX3	DPY19L1	HEMGN	
																												KCNIP1	KIF27	SCARF1	TAF9B	SUN1	KIF27	
																												ZNF354C	DENND4C	SKAP1	RBMX2	KIAA0895	DENND4C	
																												IRX4	RABL6	DNAH17	MST4	AHCYL2	RABL6	
																												TAS2R1	CDK5RAP2	AOC3	CPXCR1	SEC61G	CDK5RAP2	
																												TMED7	UBAP2	BECN1	CHIC1	TNPO3	UBAP2	
																												ISOC1	PLGRKT	KRT38	FTHL17	HYAL4	PLGRKT	
																												RPL26L1	CBWD1	KRT37	GPR173	TSPAN12	CBWD1	
																												SAR1B	BARX1	KRT36	NLGN3	CLEC5A	BARX1	
																												C5orf45	RNF20	TNK1	SASH3	MKRN1	RNF20	
																												SLC45A2	LRRC8A	ABCC3	TAF7L	LSM5	LRRC8A	
																												DCTN4	INPP5E	MYH13	SPIN2A	ZKSCAN5	INPP5E	
																												IPO11	NPDC1	TNFSF13	ARMCX6	CLDN15	NPDC1	
																												MZB1	OR2S2	RGS9	WDR44	BRI3	OR2S2	
																												PAIP2	BARHL1	GALR2	NDUFB11	TECPR1	BARHL1	
																												CDKL3	IFNK	CDK5R1	ERCC6L	SUMF2	IFNK	
																												RXFP3	SH3GLB2	SPHK1	NUP62CL	POT1	SH3GLB2	
																												PCDH12	REXO4	CACNA1G	GDPD2	SOSTDC1	REXO4	
																												GCNT4	DOLPP1	HAP1	BCOR	KBTBD2	DOLPP1	
																												FAM13B	KCNT1	SOCS3	TBC1D8B	PTCD1	KCNT1	
																												FAM53C	KIAA1432	TM4SF5	FAM120C	OSBPL3	KIAA1432	
																												REEP2	ZBTB26	SPAG9	GEMIN8	CNTNAP2	ZBTB26	
																												PRR16	GBA2	SLC13A2	CXorf48	AUTS2	GBA2	
																												COMMD10	DENND1A	UNC119	TMEM255A	WIPI2	DENND1A	
																												DDX41	GPR107	USP6	CXorf57	TES	GPR107	
																												NOP16	SLC46A2	MTMR4	NUDT11	GIMAP2	SLC46A2	
																												LARS	ZNF462	SLC16A6	TMLHE	INTS1	ZNF462	
																												CXXC5	DMRT3	SLC16A5	SAGE1	OR2F1	DMRT3	
																												ZFR	PRDM12	SLC16A3	PLXNA3	FBXO24	PRDM12	
																												UIMC1	NAA35	RABEP1	HAUS7	SLC13A4	NAA35	
																												RAPGEF6	SLC28A3	SYNGR2	OTUD5	TBL2	SLC28A3	
																												ERAP1	SUSD1	HGS	ZNF280C	STEAP1	SUSD1	
																												KDM3B	POLR1E	KCNAB3	MTMR8	HBP1	POLR1E	
																												PHAX	IPPK	AURKB	KRBOX4	DNAJC2	IPPK	
																												RAB24	DDX31	NOG	TXLNG	TPK1	DDX31	
																												RBM27	FAM129B	BZRAP1	MBNL3	SND1	FAM129B	
																												FAM134B	LRRC19	CYTH1	WWC3	VPS41	LRRC19	
																												NEURL1B	NOL6	ZNHIT3	BEX1	TSPAN13	NOL6	
																												DHX29	WNK2	EFTUD2	HDAC8	EIF2AK1	WNK2	
																												DDX4	SECISBP2	SLC9A3R1	ZC4H2	DENND2A	SECISBP2	
																												FAM193B	C9orf16	COG1	NXT2	ZNF777	C9orf16	
																												MTMR12	MAPKAP1	RECQL5	NKRF	BBS9	MAPKAP1	
																												SGTB	DCAF10	NTN1	NXF5	CRCP	DCAF10	
																												ARL15	ZCCHC6	PIGL	NXF3	RABGEF1	ZCCHC6	
																												TMED9	GALNT12	PGS1	NXF2	POLM	GALNT12	
																												ZCCHC10	EHMT1	TBX4	KLHL4	PCLO	EHMT1	
																												CDHR2	MOB3B	RPH3AL	TEX13B	TMEM176B	MOB3B	
																												GIN1	CAAP1	FXR2	TEX13A	BZW2	CAAP1	
																												NSUN2	CNTNAP3	NPEPPS	TEX11	DBNL	CNTNAP3	
																												SPDL1	ERMP1	MPDU1	MOSPD1	HIPK2	ERMP1	
																												AGGF1	SVEP1	GOSR1	BEX4	WDR91	SVEP1	
																												C5orf22	RMI1	SPAG7	CTPS2	REPIN1	RMI1	
																												TMCO6	TRPM3	CCL4L1	CHST7	NPC1L1	TRPM3	
																												TRIM36	PTGES2	GOSR2	TCEAL7	SNX8	PTGES2	
																												GALNT10	IFT74	NR1D1	GRIPAP1	SNX10	IFT74	
																												NHP2	FAM214B	NCOR1	THOC2	TRA2A	FAM214B	
																												RBM22	GKAP1	TRAF4	ZNF630	HILPDA	GKAP1	
																												CEP72	PDCD1LG2	AATK	TMEM27	FTSJ2	PDCD1LG2	
																												RIOK2	AKNA	KIAA0100	SHROOM4	MDFIC	AKNA	
																												DEPDC1B	ISCA1	ULK2	KIAA1210	PILRA	ISCA1	
																												BDP1	DOCK8	CCDC144A	NLGN4X	FSCN3	DOCK8	
																												RNF130	ARPC5L	ACAP1	PCDH19	NXPH1	ARPC5L	
																												ERBB2IP	HDHD3	TBKBP1	RGAG1	ATP6V0A4	HDHD3	
																												PCDHGC5	AIF1L	KIAA0195	PDZD4	PNPLA8	AIF1L	
																												PCDHGC4	UCK1	EIF4A3	LRCH2	TAS2R3	UCK1	
																												PCDHGB7	ZNF484	PLEKHM1	MAGEE1	TAS2R4	ZNF484	
																												PCDHGB6	FSD1L	KIAA0753	RAP2C	TAS2R16	FSD1L	
																												PCDHGB3	CEP78	MED24	MID1IP1	FIS1	CEP78	
																												PCDHGB2	ZCCHC7	LRRC37A	ACE2	MLXIPL	ZCCHC7	
																												PCDHGB1	ANKRD20A1	MRC2	TMEM35	SBDS	ANKRD20A1	
																												PCDHGA11	GARNL3	SGSM2	FAM3A	CHCHD2	GARNL3	
																												PCDHGA10	HSDL2	ARHGAP44	EDA2R	CPA4	HSDL2	
																												PCDHGA9	C9orf64	HELZ	NYX	NT5C3A	C9orf64	
																												PCDHGA7	C9orf89	HS3ST3A1	BCORL1	NME8	C9orf89	
																												PCDHGA6	HIATL2	MED13	DUSP21	MRPS17	HIATL2	
																												PCDHGA5	NTNG2	HDAC5	CXorf56	WNT16	NTNG2	
																												PCDHGA4	HIATL1	TOM1L1	DMRTC1	ACTL6B	HIATL1	
																												PCDHGA3	HINT2	GJC1	TSPYL2	PRKAG2	HINT2	
																												PCDHGA2	C9orf24	TOB1	TNMD	ZNF107	C9orf24	
																												PCDHGA1	PIGO	ALYREF	CRLF2|ENSG00000205755.6	ZC3HC1	PIGO	
																												PCDHB15	PPAPDC3	PSME3	PJA1	SRRT	PPAPDC3	
																												PCDHB14	ZDHHC12	NBR2	SPANXC	GET4	ZDHHC12	
																												PCDHB13	FAM73B	SLC35B1	WDR13	UBE2D4	FAM73B	
																												PCDHB12	ARHGEF39	DCAF7	PORCN	CCZ1	ARHGEF39	
																												PCDHB11	C9orf3	CALCOCO2	ARMCX5	MRPS33	C9orf3	
																												PCDHB10	FIBCD1	RAMP2	UPF3B	STYXL1	FIBCD1	
																												PCDHB8	KIAA1984	ABCA10	WNK3	ASB4	KIAA1984	
																												PCDHB7	TMEM141	ABCA9	PRRG3	NUB1	TMEM141	
																												PCDHB6	C9orf37	ABCA8	APOO	MPP6	C9orf37	
																												PCDHB4	FGD3	PEMT	BRCC3	ADAM22	FGD3	
																												PCDHB3	MVB12B	BAIAP2	HMGN5	GSAP	MVB12B	
																												PCDHB2	TPD52L3	CLEC10A	NKAP	GPR85	TPD52L3	
																												PCDHAC2	WDR34	ATP5H	RNF128	TAS2R5	WDR34	
																												PCDHAC1	SAPCD2	HOXB13	MAP7D3	ANLN	SAPCD2	
																												PCDHA13	C9orf69	VAT1	MORC4	ANKIB1	C9orf69	
																												PCDHA12	LRSAM1	APPBP2	CXorf36	MIOS	LRSAM1	
																												PCDHA11	IL33	MYBBP1A	LONRF3	RNF216	IL33	
																												PCDHA10	C9orf123	FBXW10	ALG13	CHPF2	C9orf123	
																												PCDHA8	UAP1L1	PRPF8	TCEAL4	CPVL	UAP1L1	
																												PCDHA7	SLC25A51	LEPREL4	TRMT2B	PUS7	SLC25A51	
																												PCDHA6	MRRF	ST6GALNAC2	POF1B	TOMM7	MRRF	
																												PCDHA5	ARRDC1	HEXIM1	CXorf21	ING3	ARRDC1	
																												PCDHA4	DPH7	SPAG5	KLHL15	DDX56	DPH7	
																												PCDHA3	ADAMTSL1	TRIM16	ESX1	LRRN3	ADAMTSL1	
																												PCDHA2	TMEM203	IGF2BP1	BHLHB9	CROT	TMEM203	
																												PCDHA1	KIF12	GNA13	MAGED4B	EPDR1	KIF12	
																												ANKH	PALM2	CCT6B	LAS1L	ZNF853	PALM2	
																												NMUR2	SLC25A25	RAI1	GPR101	ALKBH4	SLC25A25	
																												FEM1C	WDR31	KIF1C	TMEM47	SAMD9	WDR31	
																												C5orf15	ZNF618	SEPT9	CD99L2	NCAPG2	ZNF618	
																												PRDM9	UHRF2	CD300C	H2AFB3	CYP2W1	UHRF2	
																												CDC42SE2	FAM122A	C1QL1	USP26	HEATR2	FAM122A	
																												TRPC7	ZMYND19	RUNDC3A	MAGT1	CHCHD3	ZMYND19	
																												KIAA1191	GRIN3A	STARD3	TMEM164	FKBP14	GRIN3A	
																												ERGIC1	TMC1	CBX1	PHF6	ZCWPW1	TMC1	
																												CLK4	RNF183	DDX52	FRMPD3	TMEM248	RNF183	
																												TENM2	NACC2	DUSP14	ZMAT1	WDR60	NACC2	
																												CNOT6	C9orf116	KAT7	RHOXF2	RBM28	C9orf116	
																												NLN	C9orf41	AKAP10	TMEM185A	ZDHHC4	C9orf41	
																												AHRR	C9orf57	POLG2	SLITRK2	TYW1	C9orf57	
																												ZNF608	C9orf85	SYNRG	GPR174	C7orf43	C9orf85	
																												SEMA6A	C9orf135	CD300A	BEX2	TMEM140	C9orf135	
																												ARRDC3	LCN8	TMC6	SLC7A3	GIMAP4	LCN8	
																												ZSWIM6	PTRH1	DDX42	TCEAL3	GIMAP5	PTRH1	
																												PCDHB16	PIP5KL1	CASC3	CCNB3	TMEM176A	PIP5KL1	
																												ANKRA2	TAF1L	NLRP1	PPP1R3F	CHST12	TAF1L	
																												HMHB1	PTPDC1	ARHGEF15	FATE1	TRPV6	PTPDC1	
																												C5orf54	ANKRD19P	EPN2	CCDC120	CDCA7L	ANKRD19P	
																												GOLPH3	ARID3C	AZI1	TSR2	PPP1R9A	ARID3C	
																												MCCC2	RPP25L	SARM1	HS6ST2	CCDC132	RPP25L	
																												EPB41L4A	C9orf131	RAP1GAP2	FRMD7	URGCP	C9orf131	
																												CENPK	OR13C5	CAMTA2	KLHL13	NSUN5	OR13C5	
																												ERAP2	OR13C8	KDM6B	TGIF2LX	RADIL	OR13C8	
																												ARHGEF28	OR13C3	ZZEF1	FAM104B	COA1	OR13C3	
																												NSD1	OR13C4	GGA3	PAGE5	METTL2B	OR13C4	
																												SIL1	OR13F1	MPRIP	TCEAL8	KMT2E	OR13F1	
																												ARAP3	OR1L8	JMJD6	CHRDL1	LANCL2	OR1L8	
																												C5orf28	OR1N2	EXOC7	CXorf40A	BAIAP2L1	OR1N2	
																												RMND5B	OR1N1	CLUH	FAM58A	SLC25A40	OR1N1	
																												FBXL17	TRPM6	SMG6	RIPPLY1	BCAP29	TRPM6	
																												YTHDC2	SLC34A3	WSCD1	ATXN3L	KLHL7	SLC34A3	
																												RANBP17	RNF38	USP22	SLC38A5	STK31	RNF38	
																												AGXT2	GLIPR2	CTDNEP1	MMGT1	MEPCE	GLIPR2	
																												SLC30A5	DAB2IP	KCNH4	ACRC	TRPV5	DAB2IP	
																												CENPH	CAMSAP1	ABCA6	SYTL4	ANKRD7	CAMSAP1	
																												MRPL36	C9orf62	ABCA5	SYTL5	ZC3HAV1	C9orf62	
																												GPBP1	C9orf66	TNFRSF13B	PNMA5	PAPOLB	C9orf66	
																												C5orf42	LINGO2	KCTD2	GPRASP2	C1GALT1	LINGO2	
																												BRD9	NXNL2	SUZ12	ATG4A	SLC12A9	NXNL2	
																												GRAMD3	C9orf163	MMD	RAB39B	ACN9	C9orf163	
																												PCYOX1L	MAMDC4	PIK3R5	DACH2	YAE1D1	MAMDC4	
																												FASTKD3	LCN6	WBP2	SLITRK4	AKR1B10	LCN6	
																												IRX1	AK8	CDC42EP4	SPANXN3	ANKMY2	AK8	
																												CCNJL	OR1Q1	ELP5	MAGEC3	TBX20	OR1Q1	
																												PARP8	TTLL11	FAM215A	BEND2	SMURF1	TTLL11	
																												SAP30L	RASEF	PPY2	PASD1	PHTF2	RASEF	
																												ANKRD55	TTC39B	PYY2	DCAF12L1	ACTR3B	TTC39B	
																												TXNDC15	TRMT10B	SHPK	PIH1D3	KIAA1147	TRMT10B	
																												MCTP1	TTC16	AIPL1	MUM1L1	RHBDD2	TTC16	
																												PTCD2	FAM120AOS	FSCN2	FAM199X	STRIP2	FAM120AOS	
																												ZDHHC11	FAM154A	NOL11	AMER1	ESYT2	FAM154A	
																												LPCAT1	FREM1	DHRS7B	HDX	ZNF398	FREM1	
																												BTNL8	KIAA2026	KRT23	FUNDC1	CCDC146	KIAA2026	
																												SPEF2	ATP8B5P	RNF167	GPR112	KIAA1549	ATP8B5P	
																												DOK3	ZNF483	TMEM98	MAGEB10	RBAK	ZNF483	
																												ELOVL7	C9orf84	POLDIP2	DCAF8L1	MYL7	C9orf84	
																												TRAPPC13	KIAA1958	TBC1D29	OTUD6A	KMT2C	KIAA1958	
																												ZFP2	TSTD2	TANC2	UPRT	EXOC4	TSTD2	
																												RUFY1	ZNF782	WSB1	MAGEE2	RINT1	ZNF782	
																												CPEB4	PRUNE2	NAT9	MAGEB16	GALNT11	PRUNE2	
																												PRR7	C9orf96	SENP3	FOXR2	NEUROD6	C9orf96	
																												NDFIP1	KCNV2	OR1A2	GAB3	FIGNL1	KCNV2	
																												CLPTM1L	OLFML2A	PITPNC1	PNCK	MYO1G	OLFML2A	
																												FBXO38	TMEM252	ERAL1	ZFP92	LRRC4	TMEM252	
																												YIPF5	QSOX2	NARF	ACTRT1	NPVF	QSOX2	
																												TRIM7	GLIS3	AATF	GPR119	HERPUD2	GLIS3	
																												TIGD6	ZNF367	OR4D1	PAGE3	LMBR1	ZNF367	
																												ADAMTS12	C9orf91	PELP1	RBMXL3	WBSCR17	C9orf91	
																												SPRY4	C9orf72	B9D1	DOCK11	NOM1	C9orf72	
																												MXD3	CCDC171	CACNG5	SPIN4	MOSPD3	CCDC171	
																												NUDT12	NAIF1	CACNG4	ASB11	GIGYF1	NAIF1	
																												SLC4A9	FAM219A	TUBG2	ASB9	CCDC136	FAM219A	
																												ATG10	CCDC107	TMEM97	TCEAL2	TNS3	CCDC107	
																												ROPN1L	ANKS6	NKIRAS2	PABPC5	PARP12	ANKS6	
																												SLC25A2	SUSD3	COA3	RAB40A	CREB3L2	SUSD3	
																												SPATA9	CBWD5	GIT1	ASB12	CYP3A43	CBWD5	
																												TSSK1B	CDC26	RANGRF	AMOT	CASD1	CDC26	
																												FAM172A	ANKRD18A	SAP30BP	ZNF645	STAG3L4	ANKRD18A	
																												GPR98	PHYHD1	PSMC3IP	CSAG1	MRPS24	PHYHD1	
																												UTP15	MORN5	SNX11	FMR1NB	MRPL32	MORN5	
																												ZCCHC9	OR1L4	TBX21	FAAH2	LRRC61	OR1L4	
																												MED10	TXNDC8	NT5C	ZXDB	C7orf49	TXNDC8	
																												PSD2	MAMDC2	CDR2L	FAM47A	GGCT	MAMDC2	
																												ANKRD32	FRMD3	TAX1BP3	MOSPD2	C7orf25	FRMD3	
																												THOC3	C9orf43	MINK1	ARHGAP36	ZNF655	C9orf43	
																												GFM2	FAM205A	GEMIN4	RIBC1	C7orf26	FAM205A	
																												MEGF10	CRB2	SOST	AKAP14	PVRIG	CRB2	
